,filename,cell_type,cell_type_dual,mesh_type,activation_time,cell_surface_area_um^2,mesh_density,equivalent_diameter_area_um^2_mean,equivalent_diameter_area_um^2_median,area_um^2_mean,area_um^2_median,perimeter_um_mean,perimeter_um_median
47048,3min_FOV8_decon.tif,CAR_dual,CAR,Basal,3min,50.60690936818546,70.73198733824277,0.008347897535105274,0.0071327261984038,0.12126557171936624,0.0481409316454504,1.2345751741600632,0.7869079242467012
47228,3min_FOV8_decon.tif,CAR_dual,CAR,Cytosolic,3min,66.66938021650884,60.23679394444929,0.008347897535105274,0.0071327261984038,0.12126557171936624,0.0481409316454504,1.2345751741600632,0.7869079242467012
47417,8min_CARs_Dual_FOV1_decon.tif,CAR_dual,CAR,Basal,8min,171.22167485133593,62.94420224968791,0.00770600842011162,0.0069164913048868,0.09881706394708237,0.0335730968538361,1.1208892107842225,0.6379844370576104
48239,8min_CARs_Dual_FOV1_decon.tif,CAR_dual,CAR,Cytosolic,8min,145.4140352997921,54.953901091289694,0.00770600842011162,0.0069164913048868,0.09881706394708237,0.0335730968538361,1.1208892107842225,0.6379844370576104
48766,8min_FOV1_decon_bottom_right.tif,CAR_antiCD19,CAR,Basal,8min,167.97776480663435,61.319640772703046,0.00863192229703046,0.0074572310547672,0.1006330748183872,0.0385355887604874,1.216452053430326,0.6814887754728932
49542,8min_FOV1_decon_bottom_right.tif,CAR_antiCD19,CAR,Cytosolic,8min,167.1719176416724,56.01440039051906,0.00863192229703046,0.0074572310547672,0.1006330748183872,0.0385355887604874,1.216452053430326,0.6814887754728932
50181,8min_FOV1_decon_top_left.tif,CAR_antiCD22,CAR,Basal,8min,128.44591773672133,54.82581533248624,0.010180276115591315,0.0080885027338507,0.21343390875357512,0.0453359867770441,2.035387817604618,0.7767106078193086
50527,8min_FOV1_decon_top_left.tif,CAR_antiCD22,CAR,Cytosolic,8min,128.1965698094476,48.31311666725608,0.010180276115591315,0.0080885027338507,0.21343390875357512,0.0453359867770441,2.035387817604618,0.7767106078193086
50788,8min_FOV1_decon_top_right.tif,CAR_dual,CAR,Basal,8min,165.06832785521758,59.038725624828345,0.009100179512643556,0.0076734274498401,0.11964960480079741,0.0408023880993397,1.396669968157318,0.7175473462314551
51378,8min_FOV1_decon_top_right.tif,CAR_dual,CAR,Cytosolic,8min,165.2700729963754,57.55187974049843,0.009100179512643556,0.0076734274498401,0.11964960480079741,0.0408023880993397,1.396669968157318,0.7175473462314551
