,filename,cell_type,cell_type_dual,mesh_type,activation_time,cell_surface_area_um^2,mesh_density,equivalent_diameter_area_um^2_mean,equivalent_diameter_area_um^2_median,area_um^2_mean,area_um^2_median,perimeter_um_mean,perimeter_um_median
11184,3min_UNT_FOV3_decon.tif,Untransduced,Untransduced,Cytosolic,3min,67.07548703986457,61.33403586188728,0.008024346277398873,0.0067110914795584,0.10259052940586513,0.032028536778293,0.9932226977760407,0.6143213597201979
11430,3min_UNT_FOV4_decon.tif,Untransduced,Untransduced,Basal,3min,97.51032800536188,57.73247253369578,0.008924446115845107,0.0071589796806023,0.16519772485726475,0.0364462659890921,1.2832983221975578,0.6613199193300362
11710,3min_UNT_FOV4_decon.tif,Untransduced,Untransduced,Cytosolic,3min,112.83874393453183,50.47910814434907,0.008924446115845107,0.0071589796806023,0.16519772485726475,0.0364462659890921,1.2832983221975578,0.6613199193300362
12040,3min_UNT_FOV5_decon.tif,Untransduced,Untransduced,Basal,3min,48.60124671393207,65.37029560848697,0.008575017695141282,0.0069031221047859,0.1302713366717064,0.034336770992887,1.191341312474889,0.6461583647983079
12242,3min_UNT_FOV5_decon.tif,Untransduced,Untransduced,Cytosolic,3min,54.7611544244338,53.41282321794693,0.008575017695141282,0.0069031221047859,0.1302713366717064,0.034336770992887,1.191341312474889,0.6461583647983079
12380,3min_UNT_FOV6_decon.tif,Untransduced,Untransduced,Basal,3min,78.53739816419431,64.07722970547674,0.010905518540289271,0.0090157956463033,0.13863030751796243,0.0430276868260184,1.234692687457584,0.7026882713768587
12596,3min_UNT_FOV6_decon.tif,Untransduced,Untransduced,Cytosolic,3min,99.18326927398904,59.93447821924366,0.010905518540289271,0.0090157956463033,0.13863030751796243,0.0430276868260184,1.234692687457584,0.7026882713768587
12893,3min_UNT_FOV7_decon.tif,Untransduced,Untransduced,Basal,3min,114.6597438231367,51.91706199435291,0.009136362335404814,0.0072767587986568,0.18148344360424698,0.0381519677698744,1.312082711654481,0.6763420393028382
13192,3min_UNT_FOV7_decon.tif,Untransduced,Untransduced,Cytosolic,3min,126.45851237002586,53.3268396962357,0.009136362335404814,0.0072767587986568,0.18148344360424698,0.0381519677698744,1.312082711654481,0.6763420393028382
13542,3min_UNT_FOV8_decon.tif,Untransduced,Untransduced,Basal,3min,62.52881771296944,59.74400384394645,0.009011441741173892,0.0069839554849033,0.16582799225487338,0.0459015919572537,1.5959258490383155,0.7960754089445459
13711,3min_UNT_FOV8_decon.tif,Untransduced,Untransduced,Cytosolic,3min,69.30556183465853,57.56535770624857,0.009011441741173892,0.0069839554849033,0.16582799225487338,0.0459015919572537,1.5959258490383155,0.7960754089445459
13886,3min_UNT_FOV9_decon.tif,Untransduced,Untransduced,Basal,3min,70.51900716961394,61.48424095342618,0.007975795224277361,0.0067369695569932,0.12773737780394792,0.0327016866598923,1.0451926505295488,0.6296503650557861
14157,3min_UNT_FOV9_decon.tif,Untransduced,Untransduced,Cytosolic,3min,72.7797837740345,53.71366094028488,0.007975795224277361,0.0067369695569932,0.12773737780394792,0.0327016866598923,1.0451926505295488,0.6296503650557861
14380,8min_Fri_FOV1_decon.tif,Untransduced,Untransduced,Basal,8min,156.8367215838997,61.43779656784045,0.00777747432907678,0.0068002394580934,0.10258278580858032,0.0324539935490605,1.0369511010320638,0.618388122462229
15098,8min_Fri_FOV1_decon.tif,Untransduced,Untransduced,Cytosolic,8min,161.8603759646491,55.0216408313398,0.00777747432907678,0.0068002394580934,0.10258278580858032,0.0324539935490605,1.0369511010320638,0.618388122462229
15715,8min_Thurs_FOV1_decon.tif,Untransduced,Untransduced,Basal,8min,126.46202182843068,66.07346707609533,0.0072141199516137875,0.0063138638292779,0.1008946796102858,0.0279775806457418,0.9356579123411555,0.5629613768371919
16452,8min_Thurs_FOV1_decon.tif,Untransduced,Untransduced,Cytosolic,8min,133.52468228664176,50.005866872286575,0.0072141199516137875,0.0063138638292779,0.1008946796102858,0.0279775806457418,0.9356579123411555,0.5629613768371919
16838,8min_Thurs_FOV2_decon.tif,Untransduced,Untransduced,Basal,8min,120.45019929927368,64.1813232247215,0.00733693998647154,0.0065615597666284,0.0894159501937992,0.0302157870974012,0.899059479558031,0.5906747496497105
17463,8min_Thurs_FOV2_decon.tif,Untransduced,Untransduced,Cytosolic,8min,127.04059819618465,57.35729386892178,0.00733693998647154,0.0065615597666284,0.0894159501937992,0.0302157870974012,0.899059479558031,0.5906747496497105
17964,8min_Thurs_FOV3_decon.tif,Untransduced,Untransduced,Basal,8min,179.3922471004968,59.66936993137867,0.007589069915674727,0.0063138638292779,0.1330156507175394,0.0279775806457418,1.194726257658386,0.5514821219591448
18638,8min_Thurs_FOV3_decon.tif,Untransduced,Untransduced,Cytosolic,8min,179.32510090694703,53.06540189715427,0.007589069915674727,0.0063138638292779,0.1330156507175394,0.0279775806457418,1.194726257658386,0.5514821219591448
19178,8min_Thurs_FOV4_decon.tif,Untransduced,Untransduced,Basal,8min,152.84935679026856,62.26589155232754,0.007815114484915812,0.0065615597666284,0.09466321690744336,0.0302157870974012,1.0139630464545586,0.5906747496497105
19906,8min_Thurs_FOV4_decon.tif,Untransduced,Untransduced,Cytosolic,8min,144.83769679655393,56.13917155374238,0.007815114484915812,0.0065615597666284,0.09466321690744336,0.0302157870974012,1.0139630464545586,0.5906747496497105
20495,8min_UNT_FOV10_decon.tif,Untransduced,Untransduced,Basal,8min,154.26278416449145,60.60285102832892,0.0077288150547858755,0.0065615597666284,0.11614733479621012,0.0302157870974012,1.0816833176053813,0.5906747496497105
21218,8min_UNT_FOV10_decon.tif,Untransduced,Untransduced,Cytosolic,8min,156.40139042905196,54.15295228827385,0.0077288150547858755,0.0065615597666284,0.11614733479621012,0.0302157870974012,1.0816833176053813,0.5906747496497105
21673,8min_UNT_FOV11_decon.tif,Untransduced,Untransduced,Basal,8min,168.97860456788908,64.3048216427056,0.006664623643819135,0.0060249481891226,0.08811779891583245,0.025607204824683,0.774611073217339,0.5224222657158533
22528,8min_UNT_FOV11_decon.tif,Untransduced,Untransduced,Cytosolic,8min,170.53953070546322,57.01872355982661,0.006664623643819135,0.0060249481891226,0.08811779891583245,0.025607204824683,0.774611073217339,0.5224222657158533
23234,8min_UNT_FOV1_decon_1.tif,Untransduced,Untransduced,Basal,8min,140.20237123516745,59.91491127944381,0.006971040754328112,0.0061862978748584,0.1642672189569509,0.0268584774199121,0.9200739528387711,0.5272329207481912
23771,8min_UNT_FOV1_decon_1.tif,Untransduced,Untransduced,Cytosolic,8min,142.4450540997301,46.07220018069686,0.006971040754328112,0.0061862978748584,0.1642672189569509,0.0268584774199121,0.9200739528387711,0.5272329207481912
24070,8min_UNT_FOV2_decon_1.tif,Untransduced,Untransduced,Basal,8min,152.0167439902513,62.30215403642574,0.008548573973176396,0.0072540772617995,0.1471766809656137,0.0369304064523792,1.194329217724899,0.6575807501527946
24730,8min_UNT_FOV2_decon_1.tif,Untransduced,Untransduced,Cytosolic,8min,157.5786870226248,46.31697062666894,0.008548573973176396,0.0072540772617995,0.1471766809656137,0.0369304064523792,1.194329217724899,0.6575807501527946
25066,8min_UNT_FOV3_decon.tif,Untransduced,Untransduced,Basal,8min,180.82358012633293,58.28542075393461,0.0071199008793289085,0.0063138638292779,0.09194414204440884,0.0279775806457418,0.8595480370726261,0.5514821219591449
25910,8min_UNT_FOV4_decon.tif,Untransduced,Untransduced,Basal,8min,107.71599290680442,58.83346080030015,0.006348353826769983,0.005370123422039999,0.12020859298357985,0.0291443580282916,1.026871621791014,0.6105141185680906
26436,8min_UNT_FOV4_decon.tif,Untransduced,Untransduced,Cytosolic,8min,109.69547770408596,50.79882390449538,0.006348353826769983,0.005370123422039999,0.12020859298357985,0.0291443580282916,1.026871621791014,0.6105141185680906
26752,8min_UNT_FOV5_decon.tif,Untransduced,Untransduced,Basal,8min,188.6214914039141,60.591407737901,0.007876449615243416,0.0066819654016781,0.14142615244437584,0.0313348903232308,1.04738283432915,0.5987918086169464
27543,8min_UNT_FOV5_decon.tif,Untransduced,Untransduced,Cytosolic,8min,204.35160634617603,45.1438366291901,0.007876449615243416,0.0066819654016781,0.14142615244437584,0.0313348903232308,1.04738283432915,0.5987918086169464
28103,8min_UNT_FOV6_decon.tif,Untransduced,Untransduced,Basal,8min,123.3665823057858,63.67099975507316,0.008486628159072064,0.0066819654016781,0.20707662270107124,0.0313348903232308,1.9914497989239104,0.5906747496497106
29103,8min_UNT_FOV7_decon.tif,Untransduced,Untransduced,Basal,8min,147.75407980306608,59.57554779631747,0.00845659591634845,0.007030821204083,0.11114684102854137,0.0346922000007199,1.192140622572892,0.6379844363075119
29660,8min_UNT_FOV8_decon.tif,Untransduced,Untransduced,Basal,8min,173.5583619842467,55.98148136207419,0.007946973143755484,0.007030821204083,0.11817294992232938,0.0346922000007199,1.0256456980976578,0.6379844363075119
30438,8min_UNT_FOV8_decon.tif,Untransduced,Untransduced,Cytosolic,8min,174.28242177135849,51.762620879191445,0.007946973143755484,0.007030821204083,0.11817294992232938,0.0346922000007199,1.0256456980976578,0.6379844363075119
31049,8min_UNT_FOV9_decon.tif,Untransduced,Untransduced,Basal,8min,118.81295155926924,60.605832265842814,0.007070137622733452,0.0061862978894052,0.13376053637607638,0.0268584774830689,1.1066541054019319,0.5433650636307606
31524,8min_UNT_FOV9_decon.tif,Untransduced,Untransduced,Cytosolic,8min,119.8984816908766,51.11538389740335,0.007070137622733452,0.0061862978894052,0.13376053637607638,0.0268584774830689,1.1066541054019319,0.5433650636307606
31857,1min_CARs_Dual_FOV2_decon.tif,CAR_dual,CAR,Basal,1min,46.48997334984372,69.82467810139212,0.008203676812370395,0.0070496758622087,0.08570203838314695,0.0353418336863923,0.9921869904541544,0.6532562413249886
32109,1min_CARs_Dual_FOV2_decon.tif,CAR_dual,CAR,Cytosolic,1min,58.82316887409196,61.0840953042564,0.008203676812370395,0.0070496758622087,0.08570203838314695,0.0353418336863923,0.9921869904541544,0.6532562413249886
32320,1min_CAR_CD19_mCherry_FOV1_decon.tif,CAR_antiCD19,CAR,Basal,1min,26.40250962654404,68.79279578370752,0.011024062279938884,0.0094964939767832,0.12679494316587114,0.0646448963757355,1.4651117560243485,0.9395644844206328
32392,1min_CAR_CD19_mCherry_FOV1_decon.tif,CAR_antiCD19,CAR,Cytosolic,1min,48.172500238230285,66.35127143701952,0.011024062279938884,0.0094964939767832,0.12679494316587114,0.0646448963757355,1.4651117560243485,0.9395644844206328
32533,1min_CAR_CD19_mCherry_FOV2_decon.tif,CAR_antiCD19,CAR,Basal,1min,52.24857483273206,68.6910623383126,0.007806129345401014,0.0063912504981942,0.0748866367666355,0.0294315179939031,1.0276952382019922,0.582958690808734
32781,1min_CAR_CD19_mCherry_FOV2_decon.tif,CAR_antiCD19,CAR,Cytosolic,1min,51.901936954137206,66.51615071197547,0.007806129345401014,0.0063912504981942,0.0748866367666355,0.0294315179939031,1.0276952382019922,0.582958690808734
33016,1min_CAR_CD19_mCherry_FOV3_decon.tif,CAR_antiCD19,CAR,Basal,1min,31.49172425347637,81.33956386292834,0.007836932228718807,0.0065085309318665,0.06329541589757884,0.0305215742158995,0.9186097906186536,0.6022990155317695
33194,1min_CAR_CD19_mCherry_FOV3_decon.tif,CAR_antiCD19,CAR,Cytosolic,1min,58.43137372389571,69.77091261846131,0.007836932228718807,0.0065085309318665,0.06329541589757884,0.0305215742158995,0.9186097906186536,0.6022990155317695
33439,1min_CAR_Dual_FOV1_decon.tif,CAR_dual,CAR,Basal,1min,49.12514882408536,64.13669064748201,0.0088102974776937,0.0073727274924152,0.07803045183504037,0.0386551305944916,1.1073675456283156,0.7002548009348268
33667,1min_CAR_Dual_FOV1_decon.tif,CAR_dual,CAR,Cytosolic,1min,63.27623991857739,68.43942540973592,0.0088102974776937,0.0073727274924152,0.07803045183504037,0.0386551305944916,1.1073675456283156,0.7002548009348268
33965,1min_FOV1_decon.tif,CAR_dual,CAR,Basal,1min,44.03214385778451,70.55551341373992,0.009058005317354526,0.0074323029853978,0.10865772766637212,0.0389674842605997,1.363963335195639,0.7030783209920207
34116,1min_FOV1_decon.tif,CAR_dual,CAR,Cytosolic,1min,87.59333783436234,62.496345726088336,0.009058005317354526,0.0074323029853978,0.10865772766637212,0.0389674842605997,1.363963335195639,0.7030783209920207
34419,1min_FOV3_decon_left.tif,CAR_dual,CAR,Basal,1min,117.56713077704605,54.15494758373818,0.010881297485705927,0.0083332754403549,0.27065950475315065,0.0489876961863502,1.9048855344906206,0.8072274309920415
34697,1min_FOV3_decon_left.tif,CAR_dual,CAR,Cytosolic,1min,151.82957083247197,43.75637048932691,0.010881297485705927,0.0083332754403549,0.27065950475315065,0.0489876961863502,1.9048855344906206,0.8072274309920415
